Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
abuse,judgment-33.1,Cognition,Judge,Polysemous,,,accelerate,1,,,Cognition,Perception,Volition,
abut,contiguous_location-47.8,Location,Location,Monosemous,,,accept,2,,,Location,,Cognition,
accelerate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,acclaim,2,,,Transformation,,Evaluation,
accept,characterize-29.2,Communication,Statement,Polysemous,,,accompany,1,,,Communication,,Quantification,
accept,obtain-13.5.2,Possession,Dynamic Possession,Polysemous,,,accord,1,,,Possession,,Association,
acclaim,judgment-33.1,Affiliation,Attack,Polysemous,,,accrue,1,,,Affiliation,,Causation,
acclaim,judgment-33.1,Cognition,Judge,Polysemous,,,accumulate,2,,,Cognition,,,
accompany,accompany-51.7,Motion,Pursuit,Monosemous,,,acetify,1,,,Motion,,,
accord,future_having-13.3,Possession,Future Having,Monosemous,,,ache,3,,,Possession,,,
accrue,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,acidify,1,,,Possession,,,
accumulate,herd-47.5.2,Incremental,Basic Incremental,Polysemous,,,acknowledge,2,,,Incremental,,,
accumulate,obtain-13.5.2,Possession,Dynamic Possession,Polysemous,,,acquaint,1,,,Possession,,,
acetify,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,acquire,1,,,Transformation,,,
ache,long-32.2,Volition,Intend,Polysemous,,,act,1,,,Volition,,,
ache,marvel-31.3,Affect,Affect,Polysemous,,,activate,1,,,Affect,,,
ache,tingle-40.8.2,Existence,Existence,Polysemous,,,actuate,1,,,Existence,,,
acidify,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,add,3,,,Transformation,,,
acknowledge,confess-37.10,Communication,Statement,Polysemous,,,address,1,,,Communication,,,
acknowledge,consider-29.9,Cognition,Judge,Polysemous,,,adhere,1,,,Cognition,,,
acquaint,tell-37.2,Communication,Communicate,Monosemous,,,adjoin,1,,,Communication,,,
acquire,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,adjudge,1,,,Possession,,,
act,masquerade-29.6,Affiliation,Role,Monosemous,,,administer,1,,,Affiliation,,,
activate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,admire,1,,,Transformation,,,
actuate,engender-27.1,Causation,Cause and Effect,Monosemous,,,admit,2,,,Causation,,,
add,mix-22.1,Incremental,Basic Incremental,Polysemous,,,admix,1,,,Incremental,,,
add,multiply-108,Quantification,Counting,Polysemous,,,admonish,2,,,Quantification,,,
add,say-37.7,Communication,Statement,Polysemous,,,adopt,2,,,Communication,,,
address,illustrate-25.3,Incremental,Basic Incremental,Monosemous,,,adore,1,,,Incremental,,,
adhere,cling-22.5,Incremental,Basic Incremental,Monosemous,,,adorn,1,,,Incremental,,,
adjoin,contiguous_location-47.8,Location,Location,Monosemous,,,advance,2,,,Location,,,
adjudge,declare-29.4,Communication,Statement,Monosemous,,,advertise,1,,,Communication,,,
administer,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,advise,2,,,Possession,,,
admire,admire-31.2,Attend,Attend,Monosemous,,,affect,1,,,Attend,,,
admit,confess-37.10,Communication,Statement,Polysemous,,,affirm,3,,,Communication,,,
admit,conjecture-29.5,Cognition,Judge,Polysemous,,,affix,1,,,Cognition,,,
admix,mix-22.1,Incremental,Basic Incremental,Monosemous,,,afflict,1,,,Incremental,,,
admonish,advise-37.9,Communication,Communicate,Polysemous,,,affront,1,,,Communication,,,
admonish,urge-58.1,Communication,Request,Polysemous,,,africanize,1,,,Communication,,,
adopt,appoint-29.1,Affiliation,Cause Role,Polysemous,,,age,1,,,Affiliation,,,
adopt,characterize-29.2,Communication,Statement,Polysemous,,,agglomerate,1,,,Communication,,,
adore,admire-31.2,Attend,Attend,Monosemous,,,aggravate,1,,,Attend,,,
adorn,illustrate-25.3,Incremental,Basic Incremental,Monosemous,,,aggregate,1,,,Incremental,,,
adorn,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,aggrieve,1,,,Incremental,,,
advance,escape-51.1,Motion,Basic Motion,Polysemous,,,agitate,1,,,Motion,,,
advance,future_having-13.3,Possession,Future Having,Polysemous,,,agonize,1,,,Possession,,,
advertise,indicate-78,Association,Require and Satisfy,Monosemous,,,agree,1,,,Association,,,
advise,advise-37.9,Communication,Communicate,Polysemous,,,aim,2,,,Communication,,,
advise,say-37.7,Communication,Statement,Polysemous,,,air,1,,,Communication,,,
affect,amuse-31.1,Affect,Affect,Monosemous,,,airmail,1,,,Affect,,,
affirm,admire-31.2,Attend,Attend,Polysemous,,,alarm,1,,,Attend,,,
affirm,conjecture-29.5,Cognition,Judge,Polysemous,,,alcoholize,1,,,Cognition,,,
affirm,indicate-78,Association,Require and Satisfy,Polysemous,,,alert,1,,,Association,,,
affix,tape-22.4,Incremental,Basic Incremental,Monosemous,,,alienate,1,,,Incremental,,,
afflict,amuse-31.1,Affect,Affect,Monosemous,,,alkalify,1,,,Affect,,,
affront,amuse-31.1,Affect,Affect,Monosemous,,,alkalize,1,,,Affect,,,
africanize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,allege,1,,,Transformation,,,
age,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,alleviate,1,,,Transformation,,,
agglomerate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,allocate,2,,,Transformation,,,
aggravate,amuse-31.1,Affect,Affect,Monosemous,,,allot,1,,,Affect,,,
aggregate,herd-47.5.2,Incremental,Basic Incremental,Monosemous,,,allow,1,,,Incremental,,,
aggrieve,amuse-31.1,Affect,Affect,Monosemous,,,allure,1,,,Affect,,,
agitate,amuse-31.1,Affect,Affect,Monosemous,,,alter,1,,,Affect,,,
agonize,amuse-31.1,Affect,Affect,Monosemous,,,alternate,1,,,Affect,,,
agonize,marvel-31.3,Affect,Affect,Monosemous,,,amass,1,,,Affect,,,
agree,correspond-36.1,Communication,Joint Statement,Monosemous,,,amaze,1,,,Communication,,,
aim,intend-61.2,Volition,Learn,Polysemous,,,amble,1,,,Volition,,,
aim,wish-62,Volition,Search,Polysemous,,,ambulate,1,,,Volition,,,
air,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,ambush,1,,,Transformation,,,
airmail,send-11.1,Motion,Send,Monosemous,,,ameliorate,1,,,Motion,,,
alarm,amuse-31.1,Affect,Affect,Monosemous,,,amerce,2,,,Affect,,,
alcoholize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,americanize,1,,,Transformation,,,
alert,advise-37.9,Communication,Communicate,Monosemous,,,amount,1,,,Communication,,,
alienate,amuse-31.1,Affect,Affect,Monosemous,,,amplify,2,,,Affect,,,
alkalify,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,amuse,1,,,Transformation,,,
alkalize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,analyse,1,,,Transformation,,,
allege,say-37.7,Communication,Statement,Monosemous,,,analyze,1,,,Communication,,,
alleviate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,anchor,1,,,Transformation,,,
allocate,future_having-13.3,Possession,Future Having,Polysemous,,,anesthetize,1,,,Possession,,,
allocate,invest-13.5.4,Possession,Transfer of Possession,Polysemous,,,anger,1,,,Possession,,,
allot,future_having-13.3,Possession,Future Having,Monosemous,,,angle,1,,,Possession,,,
allow,future_having-13.3,Possession,Future Having,Monosemous,,,anglicize,1,,,Possession,,,
allure,lure-59.3,Affiliation,Inducive,Monosemous,,,anguish,1,,,Affiliation,,,
alter,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,animate,1,,,Transformation,,,
alter,turn-26.6.1,Transformation,Basic Change of State,Monosemous,,,annex,1,,,Transformation,,,
alternate,correlate-86.1,Association,Correlate and Differ,Monosemous,,,annihilate,1,,,Association,,,
alternate,harmonize-22.6,Association,Correlate and Differ,Monosemous,,,annotate,1,,,Association,,,
amass,herd-47.5.2,Incremental,Basic Incremental,Monosemous,,,announce,2,,,Incremental,,,
amaze,amuse-31.1,Affect,Affect,Monosemous,,,annoy,2,,,Affect,,,
amble,run-51.3.2,Motion,Basic Motion,Monosemous,,,anoint,2,,,Motion,,,
ambulate,run-51.3.2,Motion,Basic Motion,Monosemous,,,answer,1,,,Motion,,,
ambush,attack-60.1,Affiliation,Attack,Monosemous,,,antagonize,1,,,Affiliation,,,
ameliorate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,anticipate,2,,,Transformation,,,
amerce,bill-54.5,Possession,Transfer of Possession,Polysemous,,,apostatize,1,,,Possession,,,
amerce,bill-54.5,Possession,Pay and Charge,Polysemous,,,appall,1,,,Possession,,,
americanize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,appeal,1,,,Transformation,,,
amount,register-54.1,Quantification,Measurement,Monosemous,,,appear,1,,,Quantification,,,
amplify,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,appease,1,,,Transformation,,,
amplify,overstate-37.12,Communication,Statement,Polysemous,,,applaud,3,,,Communication,,,
amuse,amuse-31.1,Affect,Affect,Monosemous,,,applique,1,,,Affect,,,
analyse,assessment-34.1,Cognition,Judge,Monosemous,,,apply,2,,,Cognition,,,
analyze,assessment-34.1,Cognition,Judge,Monosemous,,,appoint,1,,,Cognition,,,
anchor,tape-22.4,Incremental,Basic Incremental,Monosemous,,,apportion,1,,,Incremental,,,
anesthetize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,appraise,2,,,Transformation,,,
anger,amuse-31.1,Affect,Affect,Monosemous,,,appreciate,2,,,Affect,,,
anger,marvel-31.3,Affect,Affect,Monosemous,,,apprehend,1,,,Affect,,,
angle,meander-47.7,Existence,Existence,Monosemous,,,apprentice,1,,,Existence,,,
anglicize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,apprise,1,,,Transformation,,,
anguish,marvel-31.3,Affect,Affect,Monosemous,,,approach,2,,,Affect,,,
animate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,appropriate,1,,,Transformation,,,
annex,steal-10.5,Possession,Transfer of Possession,Monosemous,,,approve,1,,,Possession,,,
annihilate,destroy-44,Transformation,Causative Change of State,Monosemous,,,approve_of,2,,,Transformation,,,
annihilate,murder-42.1,Transformation,Causative Change of State,Monosemous,,,approximate,1,,,Transformation,,,
annotate,image_impression-25.1,Creation,Image Creation,Monosemous,,,arch,1,,,Creation,,,
announce,order-58.3,Communication,Request,Polysemous,,,archive,1,,,Communication,,,
announce,reﬂexive_appearance-48.1.2,Communication,Statement,Polysemous,,,argue,2,,,Communication,,,
announce,say-37.7,Communication,Statement,Polysemous,,,arise,1,,,Communication,,,
annoy,amuse-31.1,Affect,Affect,Polysemous,,,arm,1,,,Affect,,,
annoy,bully-59.5,Affiliation,Attack,Polysemous,,,arm-twist,1,,,Affiliation,,,
anoint,dub-29.3.2,Communication,Statement,Polysemous,,,armor,1,,,Communication,,,
anoint,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,aromatize,1,,,Incremental,,,
answer,reciprocate-112,Communication,Response,Monosemous,,,arouse,2,,,Communication,,,
antagonize,amuse-31.1,Affect,Affect,Monosemous,,,arrange,2,,,Affect,,,
anticipate,conjecture-29.5,Cognition,Judge,Polysemous,,,arrive,1,,,Cognition,,,
anticipate,indicate-78,Association,Require and Satisfy,Polysemous,,,arrogate,1,,,Association,,,
apostatize,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,articulate,1,,,Transformation,,,
appall,amuse-31.1,Affect,Affect,Monosemous,,,ascend,2,,,Affect,,,
appeal,appeal-31.4,Desire,Desire,Monosemous,,,ascertain,2,,,Desire,,,
appear,appear-48.1.1,Location,Location,Monosemous,,,ask,2,,,Location,,,
appease,amuse-31.1,Affect,Affect,Monosemous,,,asphalt,1,,,Affect,,,
applaud,admire-31.2,Attend,Attend,Polysemous,,,asphyxiate,2,,,Attend,,,
applaud,judgment-33.1,Affiliation,Attack,Polysemous,,,assail,2,,,Affiliation,,,
applaud,judgment-33.1,Cognition,Judge,Polysemous,,,assassinate,1,,,Cognition,,,
applique,image_impression-25.1,Creation,Image Creation,Monosemous,,,assault,2,,,Creation,,,
apply,put-9.1,Incremental,Causative Incremental,Polysemous,,,assay,1,,,Incremental,,,
apply,use-105.1,Force,Manipulate,Polysemous,,,assemble,2,,,Force,,,
appoint,appoint-29.1,Affiliation,Cause Role,Monosemous,,,assert,2,,,Affiliation,,,
apportion,future_having-13.3,Possession,Future Having,Monosemous,,,assess,3,,,Possession,,,
appraise,assessment-34.1,Cognition,Judge,Polysemous,,,assign,1,,,Cognition,,,
appraise,price-54.4,Quantification,Measurement,Polysemous,,,assimilate,1,,,Quantification,,,
appreciate,admire-31.2,Attend,Attend,Polysemous,,,assuage,1,,,Attend,,,
appreciate,comprehend-87.2,Cognition,Judge,Polysemous,,,assume,1,,,Cognition,,,
apprehend,comprehend-87.2,Cognition,Judge,Monosemous,,,assure,2,,,Cognition,,,
apprentice,orphan-29.7,Affiliation,Cause Role,Monosemous,,,astonish,1,,,Affiliation,,,
apprise,tell-37.2,Communication,Communicate,Monosemous,,,astound,1,,,Communication,,,
approach,confront-98,Communication,Response,Polysemous,,,atomize,1,,,Communication,,,
approach,escape-51.1,Motion,Basic Motion,Polysemous,,,atrophy,1,,,Motion,,,
appropriate,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,attack,2,,,Possession,,,
approve,marvel-31.3,Affect,Affect,Monosemous,,,attain,2,,,Affect,,,
approve_of,judgment-33.1,Affiliation,Attack,Polysemous,,,attend,2,,,Affiliation,,,
approve_of,judgment-33.1,Cognition,Judge,Polysemous,,,attenuate,1,,,Cognition,,,
approximate,estimate-34.2,Cognition,Feel,Monosemous,,,attire,1,,,Cognition,,,
arch,crane-40.3.2,Existence,Existence,Monosemous,,,attract,2,,,Existence,,,
archive,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,auction,1,,,Incremental,,,
argue,battle-36.4,Affiliation,Reciprocal,Polysemous,,,audit,1,,,Affiliation,,,
argue,chit_chat-37.6,Communication,Joint Statement,Polysemous,,,augment,1,,,Communication,,,
argue,correspond-36.1,Communication,Joint Statement,Polysemous,,,author,1,,,Communication,,,
arise,appear-48.1.1,Location,Location,Monosemous,,,authorize,1,,,Location,,,
arm,equip-13.4.2,Possession,Transfer of Possession,Monosemous,,,autograph,1,,,Possession,,,
arm-twist,compel-59.1,Affiliation,Inducive,Monosemous,,,average,1,,,Affiliation,,,
armor,equip-13.4.2,Possession,Transfer of Possession,Monosemous,,,avow,1,,,Possession,,,
aromatize,butter-9.9,Incremental,Causative Incremental,Monosemous,,,awake,2,,,Incremental,,,
arouse,amuse-31.1,Affect,Affect,Polysemous,,,awaken,2,,,Affect,,,
arouse,engender-27.1,Causation,Cause and Effect,Polysemous,,,award,1,,,Causation,,,
arrange,build-26.1,Creation,Causative Creation,Polysemous,,,awe,1,,,Creation,,,
arrange,put-9.1,Incremental,Causative Incremental,Polysemous,,,baa,1,,,Incremental,,,
arrive,escape-51.1,Motion,Basic Motion,Monosemous,,,babble,2,,,Motion,,,
arrogate,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,babysit,1,,,Possession,,,
articulate,say-37.7,Communication,Statement,Monosemous,,,back,3,,,Communication,,,
ascend,escape-51.1,Motion,Basic Motion,Polysemous,,,backbite,2,,,Motion,,,
ascend,meander-47.7,Existence,Existence,Polysemous,,,backfill,1,,,Existence,,,
ascertain,discover-84,Cognition,Know,Polysemous,,,backpack,1,,,Cognition,,,
ascertain,ensure-99,Affiliation,Defend,Polysemous,,,badger,1,,,Affiliation,,,
ask,inquire-37.1.2,Communication,Communicate,Polysemous,,,badmouth,2,,,Communication,,,
ask,urge-58.1,Communication,Request,Polysemous,,,baffle,1,,,Communication,,,
asphalt,butter-9.9,Incremental,Causative Incremental,Monosemous,,,bag,1,,,Incremental,,,
asphyxiate,poison-42.2,Transformation,Causative Change of State,Polysemous,,,bail,1,,,Transformation,,,
asphyxiate,suﬀocate-40.7,Transformation,Basic Change of State,Polysemous,,,bait,2,,,Transformation,,,
assail,attack-60.1,Affiliation,Attack,Polysemous,,,bake,2,,,Affiliation,,,
assail,judgment-33.1,Affiliation,Attack,Polysemous,,,balance,3,,,Affiliation,,,
assail,judgment-33.1,Cognition,Judge,Polysemous,,,ball,1,,,Cognition,,,
assassinate,murder-42.1,Transformation,Causative Change of State,Monosemous,,,balloon,1,,,Transformation,,,
assault,attack-60.1,Affiliation,Attack,Polysemous,,,bamboozle,1,,,Affiliation,,,
assault,judgment-33.1,Affiliation,Attack,Polysemous,,,band,1,,,Affiliation,,,
assault,judgment-33.1,Cognition,Judge,Polysemous,,,bandage,1,,,Cognition,,,
assay,assessment-34.1,Cognition,Judge,Monosemous,,,bang,3,,,Cognition,,,
assemble,build-26.1,Creation,Causative Creation,Polysemous,,,banish,1,,,Creation,,,
assemble,herd-47.5.2,Incremental,Basic Incremental,Polysemous,,,bank,1,,,Incremental,,,
assert,conjecture-29.5,Cognition,Judge,Polysemous,,,banquet,1,,,Cognition,,,
assert,reﬂexive_appearance-48.1.2,Communication,Statement,Polysemous,,,banter,1,,,Communication,,,
assess,assessment-34.1,Cognition,Judge,Polysemous,,,baptize,1,,,Cognition,,,
assess,estimate-34.2,Cognition,Feel,Polysemous,,,barbecue,2,,,Cognition,,,
assess,price-54.4,Quantification,Measurement,Polysemous,,,barbeque,2,,,Quantification,,,
assign,future_having-13.3,Possession,Future Having,Monosemous,,,bare,1,,,Possession,,,
assimilate,learn-14,Cognition,Learn,Monosemous,,,barf,1,,,Cognition,,,
assuage,amuse-31.1,Affect,Affect,Monosemous,,,bargain,2,,,Affect,,,
assume,conjecture-29.5,Cognition,Judge,Monosemous,,,barge,1,,,Cognition,,,
assure,advise-37.9,Communication,Communicate,Polysemous,,,bark,4,,,Communication,,,
assure,ensure-99,Affiliation,Defend,Polysemous,,,barrack,2,,,Affiliation,,,
assure,promise-37.13,Communication,Communicate,Polysemous,,,base,1,,,Communication,,,
astonish,amuse-31.1,Affect,Affect,Monosemous,,,bash,2,,,Affect,,,
astound,amuse-31.1,Affect,Affect,Monosemous,,,bask,1,,,Affect,,,
atomize,break-45.1,Transformation,Basic Change of State,Monosemous,,,bastardize,1,,,Transformation,,,
atrophy,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,baste,1,,,Transformation,,,
attack,attack-60.1,Affiliation,Attack,Polysemous,,,bat,2,,,Affiliation,,,
attack,judgment-33.1,Affiliation,Attack,Polysemous,,,bathe,1,,,Affiliation,,,
attack,judgment-33.1,Cognition,Judge,Polysemous,,,batter,1,,,Cognition,,,
attain,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,battle,1,,,Possession,,,
attain,get-13.5.1,Possession,Buy and Sell,Polysemous,,,bawl,1,,,Possession,,,
attend,attend-107.4,Affiliation,Membership,Polysemous,,,bay,1,,,Affiliation,,,
attend,peer-30.3,Perception,Look,Polysemous,,,be,2,,,Perception,,,
attenuate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,be_like,1,,,Transformation,,,
attire,dress-41.1.1,Incremental,Basic Incremental,Monosemous,,,beach,1,,,Incremental,,,
attract,earn-54.6,Possession,Dynamic Possession,Polysemous,,,bead,3,,,Possession,,,
attract,lure-59.3,Affiliation,Inducive,Polysemous,,,beam,2,,,Affiliation,,,
auction,price-54.4,Quantification,Measurement,Monosemous,,,bear,3,,,Quantification,,,
audit,assessment-34.1,Cognition,Judge,Monosemous,,,bear_on,1,,,Cognition,,,
augment,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,beard,1,,,Transformation,,,
author,create-26.4,Creation,Causative Creation,Monosemous,,,beat,4,,,Creation,,,
authorize,order-58.3,Communication,Request,Monosemous,,,beautify,1,,,Communication,,,
autograph,illustrate-25.3,Incremental,Basic Incremental,Monosemous,,,beckon,1,,,Incremental,,,
average,multiply-108,Quantification,Counting,Monosemous,,,bed,1,,,Quantification,,,
avow,declare-29.4,Communication,Statement,Monosemous,,,bedew,1,,,Communication,,,
awake,appear-48.1.1,Location,Location,Polysemous,,,beep,1,,,Location,,,
awake,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,befall,1,,,Transformation,,,
awaken,appear-48.1.1,Location,Location,Polysemous,,,befuddle,1,,,Location,,,
awaken,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,beg,1,,,Transformation,,,
award,future_having-13.3,Possession,Future Having,Monosemous,,,beget,2,,,Possession,,,
awe,amuse-31.1,Affect,Affect,Monosemous,,,beggar,1,,,Affect,,,
baa,animal_sounds-38,Creation,Emission,Monosemous,,,beguile,1,,,Creation,,,
babble,manner_speaking-37.3,Communication,Statement,Polysemous,,,behave,1,,,Communication,,,
babble,sound_emission-43.2,Creation,Emission,Polysemous,,,behead,1,,,Creation,,,
babysit,captain-29.8,Affiliation,Role,Monosemous,,,behold,1,,,Affiliation,,,
back,put_direction-9.4,Incremental,Causative Incremental,Polysemous,,,belch,2,,,Incremental,,,
back,put_direction-9.4,Incremental,Pick Up and Drop Off,Polysemous,,,believe,2,,,Incremental,,,
back,run-51.3.2,Motion,Basic Motion,Polysemous,,,belittle,2,,,Motion,,,
backbite,judgment-33.1,Affiliation,Attack,Polysemous,,,bellow,2,,,Affiliation,,,
backbite,judgment-33.1,Cognition,Judge,Polysemous,,,bellyache,1,,,Cognition,,,
backfill,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,belong,1,,,Transformation,,,
backpack,run-51.3.2,Motion,Basic Motion,Monosemous,,,belt,3,,,Motion,,,
badger,bully-59.5,Affiliation,Attack,Monosemous,,,bench,1,,,Affiliation,,,
badmouth,judgment-33.1,Affiliation,Attack,Polysemous,,,bend,3,,,Affiliation,,,
badmouth,judgment-33.1,Cognition,Judge,Polysemous,,,bequeath,1,,,Cognition,,,
baffle,amuse-31.1,Affect,Affect,Monosemous,,,berate,2,,,Affect,,,
bag,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,bereave,1,,,Incremental,,,
bail,wipe_manner-10.4.1,Incremental,Causative Incremental,Monosemous,,,berth,1,,,Incremental,,,
bait,bully-59.5,Affiliation,Attack,Polysemous,,,bestrew,1,,,Affiliation,,,
bait,butter-9.9,Incremental,Causative Incremental,Polysemous,,,bestride,1,,,Incremental,,,
bake,build-26.1,Creation,Causative Creation,Polysemous,,,bet,2,,,Creation,,,
bake,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,betroth,1,,,Transformation,,,
bake,preparing-26.3,Creation,Causative Creation,Polysemous,,,better,1,,,Creation,,,
balance,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,bewail,1,,,Transformation,,,
balance,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,beware,1,,,Incremental,,,
balance,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,bewilder,1,,,Existence,,,
ball,knead-26.5,Transformation,Basic Change of State,Monosemous,,,bewitch,2,,,Transformation,,,
balloon,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,bicker,1,,,Motion,,,
bamboozle,trick-59.2,Affiliation,Inducive,Monosemous,,,bicycle,1,,,Affiliation,,,
band,tape-22.4,Incremental,Basic Incremental,Monosemous,,,biff,1,,,Incremental,,,
bandage,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,bifurcate,1,,,Incremental,,,
bang,bump-18.4,Force,Basic Force,Polysemous,,,bike,1,,,Force,,,
bang,funnel-9.3,Incremental,Basic Incremental,Polysemous,,,bill,3,,,Incremental,,,
bang,hit-18.1,Force,Basic Force,Polysemous,,,billet,1,,,Force,,,
bang,sound_emission-43.2,Creation,Emission,Polysemous,,,billow,1,,,Creation,,,
banish,banish-10.2,Affiliation,Cause Membership,Monosemous,,,bin,1,,,Affiliation,,,
bank,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,bind,1,,,Incremental,,,
banquet,dine-39.5,Transformation,Ingestion,Monosemous,,,birch,1,,,Transformation,,,
banter,correspond-36.1,Communication,Joint Statement,Monosemous,,,birth,1,,,Communication,,,
baptize,dub-29.3.2,Communication,Statement,Monosemous,,,bisect,1,,,Communication,,,
barbecue,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,bitch,1,,,Transformation,,,
barbecue,preparing-26.3,Creation,Causative Creation,Polysemous,,,bite,2,,,Creation,,,
barbeque,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,bivouac,1,,,Transformation,,,
barbeque,preparing-26.3,Creation,Causative Creation,Polysemous,,,blab,1,,,Creation,,,
bare,crane-40.3.2,Existence,Existence,Monosemous,,,blabber,1,,,Existence,,,
barf,breathe-40.1.2,Creation,Emission,Monosemous,,,black,1,,,Creation,,,
bargain,battle-36.4,Affiliation,Reciprocal,Polysemous,,,black_out,1,,,Affiliation,,,
bargain,correspond-36.1,Communication,Joint Statement,Polysemous,,,blacken,1,,,Communication,,,
barge,drive-11.5,Motion,Vehicular Motion,Monosemous,,,blackmail,1,,,Motion,,,
bark,animal_sounds-38,Creation,Emission,Polysemous,,,blacktop,1,,,Creation,,,
bark,hurt-40.8.3,Transformation,Hurt,Polysemous,,,blame,2,,,Transformation,,,
bark,manner_speaking-37.3,Communication,Statement,Polysemous,,,blanch,2,,,Communication,,,
bark,pit-10.7,Incremental,Causative Incremental,Polysemous,,,blanket,3,,,Incremental,,,
barrack,lodge-46,Location,Location,Polysemous,,,blare,2,,,Location,,,
barrack,pocket-9.10,Incremental,Basic Incremental,Polysemous,,,blaspheme,2,,,Incremental,,,
base,base-97.1,Association,Base and Deduce,Monosemous,,,blast,3,,,Association,,,
