sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
There are some votes that apparently were counted wrong.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0015.sense,6,1,False
"George Tsao, assistant vice president of the Knowledge Management Center at Winbond Electronics Corporation, notes that in the past you could determine the worth of a company by adding up its fixed assets ( such as land and factories ) and liquid assets ( such as cash ), with each calculable down to the last penny.",add,30,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,57,1,False
Ninety - one percent of the vote counted in New Jersey /.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,699,1,False
"Later this week, Miami Police apparently are going to escort them up to Tallahassee and they will be ready to be counted if the judge decides at a later time to do so.",count,22,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,10,1,False
"Grandma also came over to listen to Qingqing play, and also counted the beat,",count,12,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0013.sense,13,1,False
But I never did count them all carefully.,count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,34,1,False
"Going to the well of the chamber, Mr. Panetta demanded the costs be fully counted.",count,15,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1147.sense,4,1,False
Court had the final laugh though making the guy wait at court until every was counted offsite at a bank /.,count,15,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,665,1,False
"If we use 25 teams, then that roughly adds up to little less than 500 ballots per team, and we figure we could probably conclude that within an eight - hour time.",add,9,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,11,1,False
The laws of Texas and Florida and other states are based on the reality that the most fair and effective way to count every valid vote and to discern the intent of the voter is a careful fair hand count.,count,22,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0105.sense,2,1,False
"I think that both Governor Bush and I should recognize an obligation during this time when the votes are still being -- are still to be counted, to try to restrain the passions of our partisan supporters.",count,26,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0114.sense,4,1,False
"Well, there have been cases in most recent elections in France where the Coseque Constitutionalle having been apprised of doubtful procedures or doubtful ways of counting the votes, have decided either to the election and have it done over again or to in fact change the winner.",count,26,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0083.sense,15,1,False
"Over the weekend in Florida, Bush offers a tangled description of his tax plan and has to turn to his brother to ask if the numbers add up.",add,27,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0003.sense,15,1,False
"From Hebron to Gaza, the wounded were carried off so fast it was difficult to count them.",count,16,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0019.sense,11,1,False
and as they count the votes across the country we 'll be giving you the latest on those races which may have national overtones as well /.,count,3,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,119,1,False
"First question, how can Florida count the votes in 64 counties when it took this much to get a partial count in three?",count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,6,1,False
"A heavy, kerchiefed woman runs a handful through her fingers, and counts him out a pile of zlotys.",count,13,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1146.sense,36,1,False
"""I did n't learn to count until I got to Juilliard.""",count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1388.sense,16,1,False
It ruled that recounts submitted to state officials after a filing deadline had passed had to be counted.,count,17,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0113.sense,21,1,False
( Here 's how to interpret a standard deviation figure: Take the expected return and add one standard deviation to it.,add,16,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1564.sense,31,1,False
"Because abroad are n't counted in our census, no one knows how many, and no one knows how many voted.",count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0053.sense,4,1,False
"They have been counted on election night -- they 've been counted in the recounts, and it simply happens to be not -- not the case that those ballots have failed to be counted by anyone.",count,34,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,19,1,False
We do n't know whether or not she will be counted in time for them to count in the Electoral College.,count,10,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,20,1,False
"The actual use of foreign investments added up to 3.324 billion US dollars, accounting for 84.4 percent of the total sum of 3.839 billion US dollars accumulated since the reform and opening up started.",add,6,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0008.sense,6,1,False
He did not agree to the Democratic proposal to begin counting tomorrow morning but he has ordered that the ballots be shipped up.,count,10,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,9,1,False
"Corey Judge N. Sander Sauls is deciding whether to order a recount as you said of those ballots, 9000 or more actually from Miami Dade County that apparently were never counted at all, at least according to the Democrats in the presidential election and about 3300 ballots from Palm Beach County that were considered by local officials but then thrown out, disallowed.",count,31,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,6,1,False
Ninety - nine percent of the vote counted now in Virginia /.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,700,1,False
"Here, the court applied it to counting voters ' ballots.",count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0048.sense,6,1,False
"They have been counted on election night -- they 've been counted in the recounts, and it simply happens to be not -- not the case that those ballots have failed to be counted by anyone.",count,3,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,19,1,False
"At present, the actual investment of Hong Kong merchants in Shenzhen has added up to nearly 7 billion US dollars, accounting for 65 % of the total amount of Shenzhen 's actually utilized foreign investment.",add,13,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0147.sense,12,1,False
"That 's when he 'll decide if they should be counted, along with contested ballots from Nassau County.",count,10,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0113.sense,13,1,False
"Hsueh, the co-founder and executive vice president, ca n't count how many times she stayed up all night at the office in those early days.",count,11,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1038.sense,9,1,False
"Well, they have been making this point throughout these proceedings that these ballots have never been counted, and that is factually not true.",count,17,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,18,1,False
"After counting eighty percent of the votes, the Venezuelan people reelected President Hugo Chavez for a third six - year term, after he led, with sixty - one percent of the votes, his competitor Manuel Rosales, who received thirty - eight percent, in the presidential elections in Venezuela.",count,1,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0028.sense,0,1,False
"Anyone who wants to appreciate just how bizarre this situation is -- with students who ca n't add or subtract ""learning"" the conceptual basis of mathematical theory -- should read the article by Caleb Nelson ( himself a recent math major at Harvard ) in the November American Spectator.",add,17,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1286.sense,75,1,False
Let 's look throughout history and count the heroes.,count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0017.sense,13,1,False
"If they come out with an order that says we are going to count the ballots, we 're going to start now, we believe that can be resolved by December 12th.",count,13,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0143.sense,7,1,False
